"Title","CELEX number","ECLI identifier","Date of document","Author",
"Decision of the European Central Bank of 23 April 2004 laying down the measures necessary for the paying-up of the European Central Bank’s capital by the non-participating national central banks (ECB/2004/10)","32004D0010(01)","","2004-04-23","European Central Bank",
"Decision of the European Central Bank of 22 April 2004 laying down the terms and conditions for transfers of the European Central Bank’s capital shares between the national central banks and for the adjustment of the paid-up capital (ECB/2004/7)","32004D0007(01)","","2004-04-22","European Central Bank",
"Decision of the European Central Bank of 22 April 2004 laying down the measures necessary for the paying-up of the European Central Bank’s capital by the participating national central banks (ECB/2004/6)","32004D0006(01)","","2004-04-22","European Central Bank",
"Guideline of the European Central Bank of 4 December 2009 amending Guideline ECB/2007/9 on monetary, financial institutions and markets statistics (ECB/2009/23)","32009O0023","","2009-12-04","European Central Bank",
"2010/14/: Decision of the European Central Bank of 10 December 2009 on the approval of the volume of coin issuance in 2010 (ECB/2009/25)","32009D0025(01)","","2009-12-10","European Central Bank",
"Guideline of the European Central Bank of 14 December 2009 amending Guideline ECB/2006/16 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2009/28)","32009O0028","","2009-12-14","European Central Bank",
"Decision of the European Central Bank of 14 December 2009 amending Decision ECB/2006/17 on the annual accounts of the European Central Bank (ECB/2009/29)","32009D0029(01)","","2009-12-14","European Central Bank",
"Decision of the European Central Bank of 14 December 2009 amending Decision ECB/2001/16 on the allocation of monetary income of the national central banks of participating Member States from the financial year 2002 (ECB/2009/27)","32009D0027(01)","","2009-12-14","European Central Bank",
"Guideline of the European Central Bank of 10 December 2009 amending Guideline ECB/2008/18 on temporary changes to the rules relating to eligibility of collateral (ECB/2009/24)","32009O0024","","2009-12-10","European Central Bank",
"2009/768/EC: Decision of the European Central Bank of 6 October 2009 amending Decision ECB/2007/7 concerning the terms and conditions of TARGET2-ECB (ECB/2009/22)","32009D0022(01)","","2009-10-06","European Central Bank",
"Guideline of the European Central Bank of 17 September 2009 amending Guideline ECB/2007/2 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2009/21)","32009O0021","","2009-09-17","European Central Bank",
"Guideline of the European Central Bank of 31 July 2009 on government finance statistics (recast) (ECB/2009/20)","32009O0020","","2009-07-31","European Central Bank",
"2009/595/EC: Guideline of the European Central Bank of 17 July 2009 amending Guideline ECB/2006/16 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2009/18)","32009O0018","","2009-07-17","European Central Bank",
"2009/594/EC: Decision of the European Central Bank of 17 July 2009 amending Decision ECB/2006/17 on the annual accounts of the European Central Bank (ECB/2009/19)","32009D0019(01)","","2009-07-17","European Central Bank",
"2009/555/EC: Decision of the European Central Bank of 19 June 2009 amending Decision ECB/2003/14 concerning the administration of the borrowing-and-lending operations concluded by the European Community under the medium-term financial assistance facility (ECB/2009/17)","32009D0017(01)","","2009-06-19","European Central Bank",
"2009/522/EC: Decision of the European Central Bank of 2 July 2009 on the implementation of the covered bond purchase programme (ECB/2009/16)","32009D0016(01)","","2009-07-02","European Central Bank",
"2009/508/EC: Decision of the European Central Bank of 25 June 2009 amending Decision ECB/2008/20 as regards the volume of euro coins that Austria may issue in 2009 (ECB/2009/15)","32009D0015(01)","","2009-06-25","European Central Bank",
"2009/465/EC: Decision of the European Central Bank of 9 June 2009 amending Decision ECB/2007/7 concerning the terms and conditions of TARGET2-ECB (ECB/2009/13)","32009D0013","","2009-06-09","European Central Bank",
"Guideline of the European Central Bank of 28 May 2009 amending Guideline ECB/2006/4 on the Eurosystem’s provision of reserve management services in euro to central banks and countries located outside the euro area and to international organisations (ECB/2009/11)","32009O0011","","2009-05-28","European Central Bank",
"Guideline of the European Central Bank of 7 May 2009 amending Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem (ECB/2009/10)","32009O0010","","2009-05-07","European Central Bank",
"Guideline of the European Central Bank of 7 May 2009 amending Guideline ECB/2007/2 on a Trans-European Automated Real-time Gross Settlement Express Transfer system (TARGET2) (ECB/2009/9)","32009O0009","","2009-05-07","European Central Bank",
"2009/338/EC: Decision of the European Central Bank of 19 March 2009 on the establishment of the TARGET2-Securities Programme Board (ECB/2009/6)","32009D0006(01)","","2009-03-19","European Central Bank",
"2009/328/EC: Decision of the European Central Bank of 19 March 2009 amending Decision ECB/2004/2 of 19 February 2004 adopting the Rules of Procedure of the European Central Bank (ECB/2009/5)","32009D0005","","2009-03-19","European Central Bank",
"Regulation (EC) No 290/2009 of the European Central Bank of 31 March 2009 amending Regulation (EC) No 63/2002 (ECB/2001/18) concerning statistics on interest rates applied by monetary financial institutions to deposits and loans vis-à-vis households and non-financial corporations (ECB/2009/7)","32009R0290","","2009-03-31","European Central Bank",
"2009/245/EC: Decision of the European Central Bank of 6 March 2009 concerning derogations that may be granted under Regulation (EC) No 958/2007 concerning statistics on the assets and liabilities of investment funds (ECB/2007/8) (ECB/2009/4)","32009D0004(01)","","2009-03-06","European Central Bank",
"Guideline of the European Central Bank of 19 December 2008 amending Guideline ECB/2007/9 on monetary, financial institutions and markets statistics (recast) (ECB/2008/31)","32008O0031","","2008-12-19","European Central Bank",
"2009/154/EC: Decision of the European Central Bank of 27 January 2009 amending Decision ECB/2007/5 laying down the Rules on Procurement (ECB/2009/2)","32009D0002(01)","","2009-01-27","European Central Bank",
"Guideline of the European Central Bank of 23 October 2008 amending Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem (ECB/2008/13)","32008O0013","","2008-10-23","European Central Bank",
"Guideline of the European Central Bank of 20 January 2009 amending Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem (ECB/2009/1)","32009O0001","","2009-01-20","European Central Bank",
"Guideline of the European Central Bank of 11 December 2008 amending Guideline ECB/2006/16 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2008/21)","32008O0021","","2008-12-11","European Central Bank",
"2009/98/EC: Decision of the European Central Bank of 11 December 2008 amending Decision ECB/2006/17 on the annual accounts of the European Central Bank (ECB/2008/22)","32008D0022(01)","","2008-12-11","European Central Bank",
"2009/54/EC: Decision of the European Central Bank of 12 December 2008 laying down the measures necessary for the paying-up of the European Central Bank’s capital by the participating national central banks (ECB/2008/24)","32008D0024(01)","","2008-12-12","European Central Bank",
"2009/56/EC: Decision of the European Central Bank of 12 December 2008 amending Decision ECB/2001/15 on the issue of euro banknotes (ECB/2008/26)","32008D0026(01)","","2008-12-12","European Central Bank",
"2009/58/EC: Decision of the European Central Bank of 15 December 2008 laying down the measures necessary for the paying-up of the European Central Bank’s capital by the non-participating national central banks (ECB/2008/28)","32008D0028(01)","","2008-12-15","European Central Bank",
"2009/55/EC: Decision of the European Central Bank of 12 December 2008 laying down the terms and conditions for transfers of the European Central Bank’s capital shares between the national central banks and for the adjustment of the paid-up capital (ECB/2008/25)","32008D0025(01)","","2008-12-12","European Central Bank",
"2009/59/EC: Decision of the European Central Bank of 31 December 2008 on the paying-up of capital, transfer of foreign reserve assets and contributions by Národná banka Slovenska to the European Central Bank’s reserves and provisions (ECB/2008/33)","32008D0033(01)","","2008-12-31","European Central Bank",
"2009/53/EC: Decision of the European Central Bank of 12 December 2008 on the national central banks’ percentage shares in the key for subscription to the European Central Bank’s capital (ECB/2008/23)","32008D0023(01)","","2008-12-12","European Central Bank",
"2009/57/EC: Decision of the European Central Bank of 12 December 2008 laying down the measures necessary for the contribution to the European Central Bank’s accumulated equity value and for adjusting the national central banks’ claims equivalent to the transferred foreign reserve assets (ECB/2008/27)","32008D0027(01)","","2008-12-12","European Central Bank",
"Agreement of 31 December 2008 between Národná banka Slovenska and the European Central Bank regarding the claim credited to Národná banka Slovenska by the European Central Bank under Article 30.3 of the Statute of the European System of Central Banks and of the European Central Bank","32009X0124(01)","","2008-12-31","European Central Bank",
"Agreement of 8 December 2008 between the European Central Bank and the national central banks of the Member States outside the euro area amending the Agreement of 16 March 2006 between the European Central Bank and the national central banks of the Member States outside the euro area laying down the operating procedures for an exchange rate mechanism in stage three of economic and monetary union","32009X0122(01)","","2008-12-08","European Central Bank, Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom",
"Regulation (EC) No 25/2009 of the European Central Bank of 19 December 2008 concerning the balance sheet of the monetary financial institutions sector (Recast) (ECB/2008/32)","32009R0025","","2008-12-19","European Central Bank",
"Regulation (EC) No 24/2009 of the European Central Bank of 19 December 2008 concerning statistics on the assets and liabilities of financial vehicle corporations engaged in securitisation transactions (ECB/2008/30)","32009R0024","","2008-12-19","European Central Bank",
"2009/5/EC: Decision of the European Central Bank of 18 December 2008 to postpone the start of the rotation system in the Governing Council of the European Central Bank (ECB/2008/29)","32008D0029(01)","","2008-12-18","European Central Bank",
"2008/990/EC: Decision of the European Central Bank of 11 December 2008 on the approval of the volume of coin issuance in 2009 (ECB/2008/20)","32008D0020(01)","","2008-12-11","European Central Bank",
"Guideline of the European Central Bank of 11 September 2008 on data collection regarding the euro and the operation of the Currency Information System 2 (ECB/2008/8)","32008O0008","","2008-09-11","European Central Bank",
"2008/893/EC: Decision of the European Central Bank of 17 November 2008 laying down the framework for joint Eurosystem procurement (ECB/2008/17)","32008D0017","","2008-11-17","European Central Bank",
"2008/892/EC: Decision of the European Central Bank of 28 October 2008 on transitional provisions for the application of minimum reserves by the European Central Bank following the introduction of the euro in Slovakia (ECB/2008/14)","32008D0014","","2008-10-28","European Central Bank",
"Guideline of the European Central Bank of 21 November 2008 on temporary changes to the rules relating to eligibility of collateral (ECB/2008/18)","32008O0018","","2008-11-21","European Central Bank",
"2008/874/EC: Decision of the European Central Bank of 14 November 2008 on the implementation of Regulation ECB/2008/11 of 23 October 2008 on temporary changes to the rules relating to eligibility of collateral (ECB/2008/15)","32008D0015","","2008-11-14","European Central Bank",
"Regulation (EC) No 1052/2008 of the European Central Bank of 22 October 2008 amending Regulation (EC) No 1745/2003 (ECB/2003/9) on the application of minimum reserves (ECB/2008/10)","32008R1052","","2008-10-22","European Central Bank",
"Regulation (EC) No 1053/2008 of the European Central Bank of 23 October 2008 on temporary changes to the rules relating to eligibility of collateral (ECB/2008/11)","32008R1053","","2008-10-23","European Central Bank",
"Guideline of the European Central Bank of 5 September 2008 amending Guideline ECB/2005/5 of 17 February 2005 on the statistical reporting requirements of the European Central Bank and the procedures for exchanging statistical information within the European System of Central Banks in the field of government finance statistics (ECB/2008/7)","32008O0007","","2008-09-05","European Central Bank",
"Guideline of the European Central Bank of 26 August 2008 amending Guideline ECB/2002/7 on the statistical reporting requirements of the European Central Bank in the field of quarterly financial accounts (ECB/2008/6)","32008O0006","","2008-08-26","European Central Bank",
"Guideline of the European Central Bank of 20 June 2008 on the management of the foreign reserve assets of the European Central Bank by the national central banks and the legal documentation for operations involving such assets (recast) (ECB/2008/5)","32008O0005","","2008-06-20","European Central Bank",
"Guideline of the European Central Bank of 19 June 2008 amending Guideline ECB/2006/9 on certain preparations for the euro cash changeover and on frontloading and sub-frontloading of euro banknotes and coins outside the euro area (ECB/2008/4)","32008O0004","","2008-06-19","European Central Bank",
"2008/402/EC: Decision of the European Central Bank of 15 May 2008 on security accreditation procedures for manufacturers of euro secure items for euro banknotes (ECB/2008/3)","32008D0003","","2008-05-15","European Central Bank",
"Guideline of the European Central Bank of 17 December 2007 amending Guideline ECB/2006/16 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2007/20)","32007O0020","","2007-12-17","European Central Bank",
"2008/121/EC: Decision of the European Central Bank of 17 December 2007 amending Decision ECB/2006/17 on the annual accounts of the European Central Bank (ECB/2007/21)","32007D0021(01)","","2007-12-17","European Central Bank",
"2008/89/EC: Decision of the European Central Bank of 31 December 2007 on the paying-up of capital, transfer of foreign reserve assets and contributions by the Central Bank of Cyprus and the Central Bank of Malta to the European Central Bank's reserves and provisions (ECB/2007/22)","32007D0022(01)","","2007-12-31","European Central Bank",
"Agreement of 31 December 2007 between the European Central Bank and the Central Bank of Malta regarding the claim credited to the Central Bank of Malta by the European Central Bank under Article 30.3 of the Statute of the European System of Central Banks and of the European Central Bank","32008X0201(02)","","2007-12-31","European Central Bank",
"Agreement of 31 December 2007 between the European Central Bank and the Central Bank of Cyprus regarding the claim credited to the Central Bank of Cyprus by the European Central Bank under Article 30.3 of the Statute of the European System of Central Banks and of the European Central Bank","32008X0201(01)","","2007-12-31","European Central Bank",
"2008/21/EC: Decision of the European Central Bank of 7 December 2007 amending Decision ECB/2001/15 of 6 December 2001 on the issue of euro banknotes (ECB/2007/19)","32007D0019(01)","","2007-12-07","European Central Bank",
"Agreement of 14 December 2007 between the European Central Bank and the national central banks of the Member States outside the euro area amending the Agreement of 16 March 2006 between the European Central Bank and the national central banks of the Member States outside the euro area laying down the operating procedures for an exchange rate mechanism in stage three of economic and monetary union","32007X1229(01)","","2007-12-14","Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom, European Central Bank",
"Guideline of the European Central Bank of 1 August 2007 on monetary, financial institutions and markets statistics (recast) (ECB/2007/9)","32007O0009","","2007-08-01","European Central Bank",
"2007/850/EC: Decision of the European Central Bank of 22 November 2007 amending Decision ECB/2001/16 on the allocation of monetary income of the national central banks of participating Member States from the financial year 2002 (ECB/2007/15)","32007D0015(01)","","2007-11-22","European Central Bank",
"Regulation (EC) No 1489/2007 of the European Central Bank of 29 November 2007 amending Regulation (EC) No 2423/2001 (ECB/2001/13) concerning the consolidated balance sheet of the monetary financial institutions sector (ECB/2007/18)","32007R1489","","2007-11-29","European Central Bank",
"2007/790/EC: Decision of the European Central Bank of 23 November 2007 on the approval of the volume of coin issuance in 2008 (ECB/2007/16)","32007D0016(01)","","2007-11-23","European Central Bank",
"Guideline of the European Central Bank of 15 November 2007 amending Guideline ECB/2002/7 on the statistical reporting requirements of the European Central Bank in the field of quarterly financial accounts (ECB/2007/13)","32007O0013","","2007-11-15","European Central Bank",
"Guideline of the European Central Bank of 15 November 2007 amending Guideline ECB/2005/5 on the statistical reporting requirements of the European Central Bank and the procedures for exchanging statistical information within the European System of Central Banks in the field of government finance statistics (ECB/2007/14)","32007O0014","","2007-11-15","European Central Bank",
"Regulation (EC) No 1348/2007 of the European Central Bank of 9 November 2007 concerning transitional provisions for the application of minimum reserves by the European Central Bank following the introduction of the euro in Cyprus and Malta (ECB/2007/11)","32007R1348","","2007-11-09","European Central Bank",
"Guideline of the European Central Bank of 20 September 2007 amending Annexes I and II to Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem (ECB/2007/10)","32007O0010","","2007-09-20","European Central Bank",
"2007/601/EC: Decision of the European Central Bank of 24 July 2007 concerning the terms and conditions of TARGET2-ECB (ECB/2007/7)","32007D0007","","2007-07-24","European Central Bank",
"Guideline of the European Central Bank of 26 April 2007 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2007/2)","32007O0002","","2007-04-26","European Central Bank",
"Regulation (EC) No 958/2007 of the European Central Bank of 27 July 2007 concerning statistics on the assets and liabilities of investment funds (ECB/2007/8)","32007R0958","","2007-07-27","European Central Bank",
"Guideline of the European Central Bank of 20 July 2007 amending Guideline ECB/2006/28 on the management of the foreign reserve assets of the European Central Bank by the national central banks and the legal documentation for operations involving such assets (ECB/2007/6)","32007O0006","","2007-07-20","European Central Bank",
"2007/497/EC: Decision of the European Central Bank of 3 July 2007 laying down the Rules on Procurement (ECB/2007/5)","32007D0005(01)","","2007-07-03","European Central Bank",
"Guideline of the European Central Bank of 31 May 2007 amending Guideline ECB/2004/15 on the statistical reporting requirements of the European Central Bank in the field of balance of payments and international investment position statistics, and the international reserves template (ECB/2007/3)","32007O0003","","2007-05-31","European Central Bank",
"2007/279/EC: Decision of the European Central Bank of 17 April 2007 adopting implementing rules concerning data protection at the European Central Bank (ECB/2007/1)","32007D0001(01)","","2007-04-17","European Central Bank",
"2007/46/EC: Decision of the European Central Bank of 15 December 2006 amending Decision ECB/2001/15 on the issue of euro banknotes ( ECB/2006/25 )","32006D0025","","2006-12-15","European Central Bank",
"2007/43/EC: Decision of the European Central Bank of 15 December 2006 laying down the measures necessary for the paying-up of the European Central Bank's capital by the participating national central banks ( ECB/2006/22 )","32006D0022(01)","","2006-12-15","European Central Bank",
"2007/47/EC: Decision of the European Central Bank of 18 December 2006 laying down the measures necessary for the paying-up of the European Central Bank's capital by the non-participating national central banks ( ECB/2006/26 )","32006D0026","","2006-12-15","European Central Bank",
"2007/44/EC: Decision of the European Central Bank of 15 December 2006 laying down the terms and conditions for transfers of the European Central Bank's capital shares between the national central banks and for the adjustment of the paid-up capital ( ECB/2006/23 )","32006D0023(01)","","2006-12-15","European Central Bank",
"2007/48/EC: Decision of the European Central Bank of 30 December 2006 on Banka Slovenije's paying-up of capital, transfer of foreign reserve assets and contribution to the European Central Bank's reserves and provisions ( ECB/2006/30 )","32006D0030","","2006-12-30","European Central Bank",
"2007/42/EC: Decision of the European Central Bank of 15 December 2006 on the national central banks' percentage shares in the key for subscription to the European Central Bank's capital ( ECB/2006/21 )","32006D0021","","2006-12-15","European Central Bank",
"2007/45/EC: Decision of the European Central Bank of 15 December 2006 laying down the measures necessary for the contribution to the European Central Bank's accumulated equity value and for adjusting the national central banks' claims equivalent to the transferred foreign reserve assets ( ECB/2006/24 )","32006D0024(01)","","2006-12-15","European Central Bank",
"Guideline of the European Central Bank of 21 December 2006 on the management of the foreign reserve assets of the European Central Bank by the national central banks and the legal documentation for operations involving such assets (ECB/2006/28)","32006O0028","","2006-12-21","European Central Bank",
"Guideline of the European Central Bank of 18 December 2006 amending Guideline ECB/2005/5 on the statistical reporting requirements of the European Central Bank and the procedures for exchanging statistical information within the European System of Central Banks in the field of government finance statistics (ECB/2006/27)","32006O0027","","2006-12-18","European Central Bank",
"Agreement of 30 December 2006 between the European Central Bank and Banka Slovenije regarding the claim credited to Banka Slovenije by the European Central Bank under Article 30.3 of the Statute of the European System of Central Banks and of the European Central Bank","32007X0125(01)","","2006-12-30","European Central Bank",
"Agreement of 21 December 2006 between the European Central Bank and the national central banks of the Member States outside the euro area amending the Agreement of 16 March 2006 between the European Central Bank and the national central banks of the Member States outside the euro area laying down the operating procedures for an exchange rate mechanism in stage three of economic and monetary union","32007X0120(01)","","2006-12-21","European Central Bank, Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom",
"Regulation (EC) No 4/2007 of the European Central Bank of 14 December 2006 amending Regulation (EC) No 2423/2001 (ECB/2001/13) concerning the consolidated balance sheet of the monetary financial institutions sector (ECB/2006/20)","32007R0004","","2006-12-14","European Central Bank",
"Guideline of the European Central Bank of 31 August 2006 amending Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem (ECB/2006/12)","32006O0012","","2006-08-31","European Central Bank",
"2006/889/EC: Decision of the European Central Bank of 24 November 2006 on the approval of the volume of coin issuance in 2007 (ECB/2006/19)","32006D0019(01)","","2006-11-24","European Central Bank",
"2006/888/EC: Decision of the European Central Bank of 10 November 2006 on the annual accounts of the European Central Bank (ECB/2006/17)","32006D0017(01)","","2006-11-10","European Central Bank",
"Guideline of the European Central Bank of 10 November 2006 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2006/16)","32006O0016","","2006-11-10","European Central Bank",
"Regulation (EC) No 1637/2006 of the European Central Bank of 2 November 2006 concerning transitional provisions for the application of minimum reserves by the European Central Bank following the introduction of the euro in Slovenia (ECB/2006/15)","32006R1637","","2006-11-02","European Central Bank",
"Guideline of the European Central Bank of 3 August 2006 amending Guideline ECB/2005/16 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET) (ECB/2006/11)","32006O0011","","2006-08-03","European Central Bank",
"Guideline of the European Central Bank of  24 July 2006  on the exchange of banknotes after the irrevocable fixing of exchange rates in connection with the introduction of the euro  (ECB/2006/10)","32006O0010","","2006-07-24","European Central Bank",
"Guideline of the European Central Bank of  14 July 2006  on certain preparations for the euro cash changeover and on frontloading and sub-frontloading of euro banknotes and coins outside the euro area  (ECB/2006/9)","32006O0009","","2006-07-14","European Central Bank",
"2006/385/EC: Decision of the European Central Bank of  19 May 2006  amending Decision ECB/2001/16 on the allocation of monetary income of the national central banks of participating Member States from the financial year 2002  (ECB/2006/7)","32006D0007(01)","","2006-05-19","European Central Bank",
"Guideline of the European Central Bank of  20 April 2006  amending Guideline ECB/2002/7 on the statistical reporting requirements of the European Central Bank in the field of quarterly financial accounts  (ECB/2006/6)","32006O0006","","2006-04-20","European Central Bank",
"Guideline of the European Central Bank of  7 April 2006  on the Eurosystem’s provision of reserve management services in euro to central banks and countries located outside the euro area and to international organisations  (ECB/2006/4)","32006O0004","","2006-04-17","European Central Bank",
"2006/248/EC: Decision of the European Central Bank of  13 March 2006  amending Decision ECB/2002/11 on the annual accounts of the European Central Bank  (ECB/2006/3)","32006D0003","","2006-03-13","European Central Bank",
"Agreement of  16 March 2006  between the European Central Bank and the national central banks of the Member States outside the euro area laying down the operating procedures for an exchange rate mechanism in stage three of Economic and Monetary Union","32006X0325(01)","","2006-03-16","Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom, European Central Bank",
"Guideline of the European Central Bank of  3 February 2006  amending Guideline ECB/2005/5 on the statistical reporting requirements of the European Central Bank and the procedures for exchanging statistical information within the European System of Central Banks in the field of government finance statistics  (ECB/2006/2)","32006O0002","","2006-02-03","European Central Bank",
"Guideline of the European Central Bank of  30 December 2005  amending Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem  (ECB/2005/17)","32005O0017","","2005-12-30","European Central Bank",
"Guideline of the European Central Bank of  17 November 2005  amending Guideline ECB/2002/7 on the statistical reporting requirements of the European Central Bank in the field of quarterly financial accounts  (ECB/2005/13)","32005O0013","","2005-11-17","European Central Bank",
"Guideline of the European Central Bank of  30 December 2005  on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET) ( ECB/2005/16 )","32005O0016","","2005-12-30","European Central Bank",
"2005/918/EC: Decision of the European Central Bank of  9 December 2005  on the approval of the volume of coin issuance in 2006  (ECB/2005/14)","32005D0014(01)","","2005-12-09","European Central Bank",
"2005/832/EC: Decision of the European Central Bank of  17 November 2005  amending Decision ECB/2002/11 on the annual accounts of the European Central Bank  (ECB/2005/12)","32005D0012(02)","","2005-07-08","European Central Bank",
"2005/831/EC: Decision of the European Central Bank of  17 November 2005  on the distribution of the income of the European Central Bank on euro banknotes in circulation to the national central banks of the participating Member States  (ECB/2005/11)","32005D0011","","2005-11-17","European Central Bank",
"Guideline of the European Central Bank of 11 March 2005 amending Guideline ECB/2000/1 on the management of the foreign reserve assets of the European Central Bank by the national central banks and the legal documentation for operations involving the foreign reserve assets of the European Central Bank (ECB/2005/6)","32005O0006","","2005-03-11","European Central Bank",
"Guideline of the European Central Bank of 17 February 2005 on the statistical reporting requirements of the European Central Bank and the procedures for exchanging statistical information within the European System of Central Banks in the field of government finance statistics (ECB/2005/5)","32005O0005","","2005-02-17","European Central Bank",
"Guideline of the European Central Bank of 15 February 2005 amending Guideline ECB/2003/2 concerning certain statistical reporting requirements of the European Central Bank and the procedures for reporting by the national central banks of statistical information in the field of money and banking statistics (ECB/2005/4)","32005O0004","","2005-02-15","European Central Bank",
"Guideline of the European Central Bank of 3 February 2005 amending Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem (ECB/2005/2)","32005O0002","","2005-02-03","European Central Bank",
"2004/899/EC: Decision of the European Central Bank of 14 December 2004 on the approval of the volume of coin issuance in 2005 (ECB/2004/19)","32004D0019(01)","","2004-12-14","European Central Bank",
"Regulation (EC) No 2181/2004 of the European Central Bank of 16 December 2004 amending Regulation (EC) No 2423/2001 (ECB/2001/13) concerning the consolidated balance sheet of the monetary financial institutions sector and Regulation (EC) No 63/2002 (ECB/2001/18) concerning statistics on interest rates applied by monetary financial institutions to deposits and loans vis-à-vis households and non-financial corporations (ECB/2004/21)","32004R2181","","2004-12-16","European Central Bank",
"Agreement of 16 September 2004 between the European Central Bank and the national central banks of the Member States outside the euro area amending the Agreement of 1 September 1998 laying down the operating procedures for an exchange rate mechanism in stage three of Economic and Monetary Union","32004X1118(01)","","2004-09-16","European Central Bank, Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom",
"2004/808/EC: Guideline of the European Central Bank of 16 July 2004 on the statistical reporting requirements of the European Central Bank in the field of balance of payments and international investment position statistics, and the international reserves template (ECB/2004/15)","32004O0015","","2004-07-16","European Central Bank",
"2004/703/EC:Guideline of the European Central Bank of 16 September 2004 on the procurement of euro banknotes (ECB/2004/18)","32004O0018","","2004-09-16","European Central Bank",
"2004/556/EC: Decision of the European Central Bank of 9 July 2004 amending Decision ECB/2003/15 of 28 November 2003 on the approval of the volume of coin issuance in 2004 (ECB/2004/14)","32004D0014(01)","","2004-07-09","European Central Bank",
"Agreement of 29 April 2004 between the European Central Bank and the national central banks of the Member States outside the euro area on 1 May 2004 amending the Agreement of 1 September 1998 laying down the operating procedures for an exchange rate mechanism in stage three of economic and monetary union","32004X0513(01)","","2004-04-29","National banks outside the Eurosystem: Česká národní banka, Danmarks Nationalbank, Eesti Pank, Κεντρική Τράπεζα της Κύπρου, Latvijas Banka, Lietuvos Bankas, Magyar Nemzeti Bank, Bank Centrali ta' Malta/Central Bank of Malta, Narodowy Bank Polski, Banka Slovenije, Národná banka Slovenska, Sveriges Riksbank, Bank of England, European Central Bank",
"Cooperation Agreement between The European Central Bank - ECB – and The International Criminal Police Organisation - INTERPOL","32004X0512(01)","","2004-03-29","Interpol, European Central Bank",
"Decision of the European Central Bank of 22 April 2004 amending Decision ECB/2001/15 of 6 December 2001 on the issue of euro banknotes (ECB/2004/9)","32004D0009(01)","","2004-04-22","European Central Bank",
"Guideline of the European Central Bank of 21 April 2004 amending Guideline ECB/2001/3 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET) (ECB/2004/4)","32004O0004","","2004-04-21","European Central Bank",
"Decision of the European Central Bank of 22 April 2004 on the national central banks’ percentage shares in the key for subscription to the European Central Bank’s capital (ECB/2004/5)","32004D0005(01)","","2004-04-22","European Central Bank",
"Decision of the European Central Bank of 22 April 2004 laying down the measures necessary for the contribution to the European Central Bank’s accumulated equity value, for adjusting the national central banks claims equivalent to the transferred foreign reserve assets, and for related financial issues (ECB/2004/8)","32004D0008(01)","","2004-04-22","European Central Bank",
"2004/526/EC:Decision of the European Central Bank of 17 June 2004 adopting the Rules of Procedure of the General Council of the European Central Bank (ECB/2004/12)","32004D0012(01)","","2004-06-17","European Central Bank",
"2004/525/EC:Decision of the European Central Bank of 3 June 2004 concerning the terms and conditions for European Anti-Fraud Office investigations of the European Central Bank, in relation to the prevention of fraud, corruption and any other illegal activities detrimental to the European Communities’ financial interests and amending the Conditions of Employment for Staff of the European Central Bank (ECB/2004/11)","32004D0011(01)","","2004-06-03","European Central Bank",
"Guideline of the European Central Bank of 13 February 2004 amending Guideline ECB/2003/2 concerning certain statistical reporting requirements of the European Central Bank and the procedures for reporting by the national central banks of statistical information in the field of money and banking statistics (ECB/2004/1)","32004O0001","","2004-02-13","European Central Bank",
"2004/258/EC: Decision of the European Central Bank of 4 March 2004 on public access to European Central Bank documents (ECB/2004/3)","32004D0003(01)","","2004-03-04","European Central Bank",
"2004/257/EC: Decision of the European Central Bank of 19 February 2004 adopting the Rules of Procedure of the European Central Bank (ECB/2004/2)","32004D0002","","2004-02-19","European Central Bank",
"Guideline of the European Central Bank of 1 December 2003 amending Guideline ECB/2000/7 on monetary policy instruments and procedures of the Eurosystem (ECB/2003/16)","32003O0016","","2003-12-01","European Central Bank",
"2004/45/EC: Decision of the European Central Bank of 18 December 2003 laying down the measures necessary for the paying-up of the European Central Bank's capital by the non-participating national central banks (ECB/2003/19)","32003D0019(01)","","2003-12-18","European Central Bank",
